title,authors,description,categories
Hooked on the Newbery Award Winners!,['Marguerite Lewis'],Crossword puzzles based on Newbery award winnners.,['Education']
The Library-Classroom Partnership,"['Rosann Jweid', 'Margaret Rizzo']","The purpose of The Library-Classroom Partnership is to assist library teachers and classroom teachers to effectively use the library and its resources as an extension of the classroom. As in the earlier edition, the lessons included in this book stress the library media skills needed by individuals for lifelong learning. Long after adults have forgotten a particular fact of history or the techniques of balancing an equation, they continue to use library skills to answer their questions and to meet the demands of an ever-changing society. It has been well documented that the skills taught in a library are most effectively learned within the context of classroom work. To this end, the librarian and the teacher must form a working team to take each other's ideas and develop them into effective learning experiences for students. The authors have incorporated the teaching of those library media skills with every discipline taught in the school. Through these lessons, students will realize that research and reference are a vital part of the learning process, complementing and enriching every subject. The eleven disciplines (English, mathematics, social studies, science, art, music, home and careers, technology, physical education, health, and foreign language) normally taught in the junior high and middle schools are addressed in this work. To be included, a lesson must be a learning experience in both the library skills and the subject areas. Each unit has been cooperatively developed using the expertise of the school library media specialist and the subject teacher. All lessons have been implemented successfully in the junior high and middle school environment. This revised and expanded edition of The Library Classroom- Partnership also deals with technology and the changing economic and social conditions affecting public schools. It includes a new section on reading enrichment as well as instruction in accessing information electronically.",['Education']
Nineteenth-Century Literature Criticism,['Lynn M. Zott'],"A convenient source of commentary on the careers and works of acclaimed poets, novelists, short story writers, dramatists and philosophers who died between 1800 and 1899. Cumulative title, author, nationality and topic indexes are provided.",['Biography & Autobiography']
Standard Catalog for High School Libraries,['N/A'],"The 1st ed. accompanied by a list of Library of Congress card numbers for books (except fiction, pamphlets, etc.) which are included in the 1st ed. and its supplement, 1926/29.",['Best books']
Twentieth-century Literary Criticism,['Gale Research Company'],"Excerpts from criticism of the works of novelists, poets, playwrights, and other creative writers, 1900-1960.",['Literature']
Library Association Record,['Library Association'],"Proceedings of the 22d-33d annual conference of the Library Association in v. 1-12; proceedings of the 34th-44th, 47th-57th annual conference issued as a supplement to v. 13-23, new ser. v. 3-ser. 4, v. 1.",['Bibliography']
Imagining How It Must Have Been,['Richard L. McBain'],"History learned or reviewed with accurate historical information, but with a fictitious Character who has a gift to be able to go back in his mind and live in thes great historical events. Great for children and adults alike.",['N/A']
The Pedagogical Seminary,['N/A'],"Vols. 5-15 include ""Bibliography of child study,"" by Louis N. Wilson.",['Child development']
Monthly Bulletin,['St. Louis Public Library'],"""Teachers' bulletin"", vol. 4- issued as part of v. 23, no. 9-",['N/A']
The North American Review,['James Russell Lowell'],"Vols. 227-230, no. 2 include: Stuff and nonsense, v. 5-6, no. 8, Jan. 1929-Aug. 1930.",['North American review and miscellaneous journal']
Classical and Medieval Literature Criticism,['Jelena O. Krstovic'],"This volume covers such noted figures and topics as: Eutropius, Roman historianSt. Jerome, Roman translator, historian, exegete, and letter writerTáin Bó Cualnge, Irish epicTorah, Hebrew history",['Literary Criticism']
The Cumulative Book Index,['N/A'],A world list of books in the English language.,['American literature']
Developing Partnerships with Families Through Children's Literature,"['Elizabeth Lilly', 'Connie Green']","This book blends information on contemporary families, research on early literacy, and practical strategies for sharing children's literature in classrooms, homes, and pre-school settings. Content is based on the belief that adult-child interactions around story-reading play a significant role in fostering and developing children's language and literacy skills. This role manifests itself differently according to the social, cultural, and linguistic environment of a child's home. The authors present a selection of children's books from all genres and an array of field-tested ideas for developing early literacy. Authentic voices of teachers, children, and family members illustrate vivid descriptions of successful teacher-family partnerships and literacy strategies that work. FEATURES: Extensive lists of children's books--Coded by age range for easy selection, culturally-diverse titles are incorporated that sensitively portray children with exceptionalities. Supplies readers with a wealth of choices in fiction, nonfiction, poetry, biography, and picture books--provides a starting point for building a personal library to share with their children and families. Significant coverage of family life, including respectful, positive treatment of diversity in traditions, style, and structure--embedded in discussions in every chapter. Gives readers practical suggestions for promoting reading in daily families. Includes daily routines (bedtime, playtime, preparing meals), as well as transitions such the birth of a new child or a death in the family. A Literacy Partnership Cycle --Highlighted by numerous literacy strategies that promote family involvement. Gives readers a simple framework for engaging families in their children's early literacy development--describes effective literacy practices for collaborating with families at home and at childcare centers and preschools. Teacher to Teacher and Family to Family features--Throughout the book. Illuminates text content through the unique experiences of preschool teachers, kindergarten teachers, and other childcare specialists--address common concerns and challenges, and offer practical suggestions shown to be effective in translating theory into practice. Internet Resources sections--Highlighted within chapters wherever appropriate. Refer students to Web sites relevant to early literacy, family involvement, children's literature, and advocacy--are ideal for in-class discussions, assignments, or self-study. AUTHOR BIOS: Elizabeth Lilly, Ph.D., is an associate professor of Early Childhood and Literacy Education at Berry College. Her professional experience includes more than 20 years as a preschool, primary, and elementary teacher and teacher educator. Dr. Lilly was closely involved in the development, implementation, and evaluation of Georgia's Pre-K program. She has conducted workshops for teachers and authored publications on early literacy, family involvement, and children's literature. Her research has focused recently on story reading in linguistically and culturally diverse families. Connie Green, Ph.D., is a professor in the Reading and Birth through Kindergarten programs at Appalachian State University. For 20 years she has worked with both undergraduate and graduate teacher education programs and has conducted research on early reading and writing in both home and early childhood settings. A former kindergarten, elementary, and preschool teacher, she continues her work in early childhood settings. Her favorite times are spent sharing books and playing with her grandchildren and hiking in the beautiful Blue Ridge Mountains.",['Education']
Hispania,['N/A'],"Vol. 1 includes ""Organization number,"" published Nov. 1917.","['Civilization, Hispanic']"
The Journal of Mississippi History,['William David McCain'],"Includes section ""Book reviews"".",['Mississippi']
Encyclopedia of World Literature in the 20th Century: E-K,['Steven Serafin'],"Contains articles that provide information about major authors and aspects of twentieth-century world literature, arranged alphabetically from E-to-K.","['Literature, Modern']"
Russian Literature in the Age of Pushkin and Gogol,['Christine Rydel'],"Essays on Russian prose writers from the Napoleonic to the Crimean Wars. During this period Russian culture and prose literature emerged as an autonomous phenomenon, no longer dependent on the patronage of the state. Includes discussion of the impact writing during this period had on the ever-widening abyss between the government and the literate public, the search for a national identify, the Decembrist Revolt and the resurgence of freemasonry.",['Biography & Autobiography']
The Winter King,['Bernard Cornwell'],"FROM THE NO. 1 BESTSELLING AUTHOR OF WAR LORD COMES AN EPIC RETELLING OF THE ARTHURIAN LEGEND 'THE BEST King Arthur adaptation I've ever read' 5***** Reader Review 'An absolute winner from the master of historical fiction' 5***** Reader Review 'Outstanding. The best take on the iconic Arthur story I've read or watched' 5***** Reader Review In the Dark Ages, a legendary warrior arises to unite a divided land . . . _________ Uther, the High King of Britain, is dead. His only heir is the infant Mordred. Yet each of the country's lesser kings seek to claim the crown for themselves. While they squabble and spoil for war, a host of Saxon armies gather, preparing for invasion. But no one has counted on the fearsome warlord Arthur. Handed power by Merlin and pursuing a doomed romance with the beautiful Guinevere, Arthur knows he will struggle to unite the country - let alone hold back the Saxon enemy at the gates. Yet destiny awaits him . . . From the epic and bestselling author who has gripped millions. _________ PRAISE FOR BERNARD CORNWELL: 'Strong narrative, vigourous action and striking characterisation, Cornwell remains king of the territory he has staked out as his own' SUNDAY TIMES 'Like Game of Thrones, but real' OBSERVER 'Blood, divided loyalties and thundering battles' THE TIMES 'The best battle scenes of any writer I've ever read, past or present. Cornwell really makes history come alive' GEORGE R.R. MARTIN 'He's called a master storyteller. Really he's cleverer than that' TELEGRAPH 'A reminder of just how good a writer he is' SUNDAY TIMES 'Nobody in the world does this better than Cornwell' LEE CHILD",['Fiction']
The Good Wife,['Eleanor Porter'],"'Eleanor Porter is a major new voice in historical fiction.' Tim ClaytonWhere will her loyalty lead her? Once accused of witchcraft Martha Spicer is now free from the shadow of the gallows and lives a safe and happy life with her husband, Jacob. But when Jacob heads north to accompany his master, he warns Martha to keep her healing gifts a secret, to keep herself safe, to be a good wife. Martha loves Jacob but without him there to protect her, she soon comes under the suspicious eye of the wicked Steward Boult, who's heard of her talent and forces her to attend to him. If she refuses, he promises to destroy the good life she has built for herself with Jacob. Desperate and alone, Martha faces a terrible decision: stay and be beholden to Boult or journey north to find Jacob who is reported to have been killed.. The road ahead is filled with danger, but also the promise of a brighter future. And where her gifts once threatened to be her downfall, might they now be the very thing that sets Martha free...? The brilliant follow-up to Eleanor Porter's first novel of love, betrayal, superstition and fear in Elizabethan England. A story of female courage, ingenuity and determination, this is perfect for fans of Tracy Chevalier. 'Eleanor Porter is a major new voice in historical fiction. With her beautiful use of language and compelling storytelling she conjures the past with a vividness that lingers in the mind long after the final page.' Tim Clayton Praise for The Wheelwright's Daughter: 'It's a gripping story and such accomplished writing. I really enjoyed every moment of working on it.' Yvonne Holland, editor of Philippa Gregory and Tracy Chevalier 'A brilliant debut novel' 'An interesting read and an impressive debut novel' 'A wonderfully written story' 'A skilfully crafted story of love, betrayal, superstition and fear in 16th century England.' 'This is a story of courage, trust, betrayal and love.' 'A great historical novel I loved.'",['N/A']
Scipio,['Ross Leckie'],"The thrilling story of the greatest general in Roman history. In the name of Rome, Scipio Africanus conquered the hard-won empires of Carthage and of Alexander the Great. Now beset in his old age by the menacing political movements of Cato, Scipio details the epic story of his life, from the earliest days of his education, to the great battles he won in service to his home. Yet all the strands of his remarkable tale are anchored, flowing from and towards the confrontation between him and his great rival, his one and only equal... Hannibal. This novel of love and betrayal recreates the life and times of a military genius who discovers he is only a man, and is perfect for fans of Simon Scarrow, Ben Kane and I, Claudius. Praise for Ross Leckie ‘Leckie writes unflinchingly of this world of blood, battle and atrocity’ Sunday Telegraph ‘By turns lucid, enlightening and thrilling, this is the historical novel at its best’ Historical Novel Society ‘Masterful ... even better than Hannibal’ Allan Massie",['Fiction']
Guide to Law Schools,"[""Barron's Educational Series""]","This newly updated directory describes 190 ABA-approved law schools as well as a selection of non-ABA-approved schools. Each profile presents admission requirements, the latest tuition figures and related fees, career placement services offered to graduates, and much more. A multi-page table lists each law school’s median LSAT scores achieved by incoming students and summarizes each school’s admission requirements. A section focusing on general advice for prospective law school students discusses ways to choose the best law school to fit each individual’s needs and advises on how to get through the often-tough school admission process. The typical law school environment is also described with emphasis on its competitive atmosphere.",['Study Aids']
"Krimi, Thriller, Mystery",['Phil Humor'],"Krimi, Thriller, Mystery Anthologie – Storys und Essays Die Autoren: Phil Humor bookrix.de/-philhumor/ Dörte Müller bookrix.de/-jjdc857fd9b1d65/ Manuela Schauten bookrix.de/-schnief/ Michel Pinball bookrix.de/-pinball/ Rolf Bidinger bookrix.de/-moa3e2b099efc75/ Tess M. Heingand bookrix.de/-og0440734a8b9b5/ Ursula Kollasch bookrix.de/-goldie.geshaar/ Die Texte: Cosy-Krimi * Thriller * Der Schrei * Blubbernde Wucherungen * Henker Alkohol * Spiel, Satz und Sieg für Lucy * Frau S. muss vor Gericht! * Pausenbrot * Vermisstmacher * Bis in den Tod * Gefangen auf der Insel des Schurken * Lauf, Engelchen, lauf! * Wahrheit oder Pflicht * Krimidinner * Eiseskälte",['Fiction']
Thriller: Einzelkind / Mysterythriller,['Daniel Jaro'],"Einzelkind greift auf die Angst eines Jungen vor Veränderungen zu und macht daraus einen Mystery / Horrorthriller, der euch bis zur letzten Minute fesseln wird. ""Gefördert durch die CREATIVE NRW"" ""Erfolgreiches Crowdfunding"" Aktuelle Meinungen der Presse und zweier Testleserinnen: MLZ: „Daniel Jaro spannt ein beklemmendes Geflecht aus Zwietracht und Missgunst zwischen… Zusammen mit dem jugendlichen Protagonisten durchlebt der Leser einen eindringlichen, psychologischen Horror…“ S.Graf: „Ich konnte das Buch nicht mehr aus der Hand legen. Es lief vor meinen Augen wie ein Film ab.“ N.Richter: „Von Anfang bis Ende absolute Spannung… Toll geschrieben.“ Thriller Erstauflage Neuartig & Intensiv 340 Seiten gedruckte Ausgabe Jetzt Buchtailer anschauen unter: https://youtu.be/GTWAfnZ5t4M Klappentext Mein Name ist Mad. Ein schrecklicher Unfall, an meinem Geburtstag, zerstörte alles. Drei Jahre vergingen, bis ich endlich aus dem Koma aufwachte. Mein geliebter Dad ist verstorben und Mum hat einen anderen Mann kennengelernt. Er und seine verzogene Tochter wohnen jetzt bei uns. Plötzlich beginnen sie, diese schrecklichen Träume. Doch ich lerne sie zu deuten. Etwas Grausames wird geschehen, wenn ich es nicht verhindere…",['Fiction']
Filmgenres und Filmgattungen,['Frank Papenbroock'],"Dieses Buch leistet einen Beitrag zum Verständnis der Bedeutung von Filmgenre-, Gattungs-, Stil- und Formatbezeichnungen. Es verfolgt das Ziel, einen umfassenden Überblick über die vielfältigen, oft wild wuchernden Begrifflichkeiten zu geben, die im Alltag gebräuchlich sind. Dabei beschreibt es in allgemeinverständlicher Sprache die wichtigsten Merkmale, die mit den jeweiligen Bezeichnungen verbunden sind, und arbeitet den Konsens hinsichtlich des dramaturgischen Aufbaus, der Geschichtsstruktur sowie der wiederkehrenden Ikonografie, Musik und Bildsprache heraus. Neben der Vermittlung grundlegender Informationen widmet sich das Buch auch Fragen, die aufgrund der Geläufigkeit der Begriffe oftmals als zu banal angesehen werden und klärt Detailfragen, wie etwa den Unterschied zwischen einem „Sozialdrama“ (engl. „Social Problem Film“) und einem „Social Drama“ (dt. „Gesellschaftsdrama“). Es fungiert somit als Überblick fürFilminteressierte jeder Art, insbesondere aber für jene, die beruflich mit dem Thema in Verbindung stehen.",['Performing Arts']
Thrillers,['Martin Rubin'],An in-depth exploration of the 'thriller' movie genre.,['Performing Arts']
Jerry's Eyes (Detective MysteryThriller) By Diya Chowdhury,['Diya Chowdhury '],"Curious and sharp-witted sober polite 12-year-old USA Town boy Jerry Maxwell,,is No Ordinary kid. Armed with thick glasses that magnify his eagle-eyed observations, he catches details others miss—like a thread out of place or a footprint half-faded in the mud. But it's not just his vision that makes him exceptional; Jerry has an intuitive mind that pieces together clues like a master puzzle solver. Whether it's unraveling schoolyard secrets or cracking baffling neighborhood mysteries, Jerry always finds himself ***one step ahead***. ""The Detective in Specs."" His charm? Quiet confidence and a knack for turning ordinary moments into extraordinary revelations.",['Fiction']
Das Hotel - ein Mysterythriller,['Katharina V. Haderer'],"Haben wir uns nicht alle eine Auszeit verdient? Sonne, Strand und Meeresbrise? Doch was, wenn sich unser größter Wunsch als Alptraum herausstellt? Traust du dich, einzuchecken?",['Fiction']
Buchgenres kompakt,['Anette Huesmann'],"Sie möchten Ihr Buch gewinnbringend verkaufen? Finden Sie das richtigen Genre für Ihr Buch und wecken Sie das Interesse von Agenturen, Verlagen und Leser*innen. Eines der wichtigsten Verkaufsargumente für ein Buch ist sein Genre. Leserinnen und Leser greifen lieber zu Büchern, die sie anhand des Genres schnell einordnen können. Für Agenturen und Verlage ist deshalb das Genre die wichtigste Information bei einem angebotenen Manuskript. Passt das Genre, sind die Buchprofis bereit, sich auch das Exposé anzusehen. Erhöhen Sie Ihre Chancen, aus dem Stapel der zahlreichen Manuskripte herausgefischt zu werden. Wählen Sie das richtige Genre für Ihr Buch und zeigen Sie Agenturen und Verlagen, dass Sie wissen, was Sie tun. Dr. Anette Huesmann ist Germanistin und Schreibtrainerin. Zahlreiche Autor*innen hat sie bereits auf ihrem Weg zum ersten veröffentlichten Buch begleitet. Sie hat etliche Bücher geschrieben, veröffentlicht und erfolgreich auf dem Buchmarkt positioniert. Ordnen Sie Ihren Roman / Ihr Sachbuch dem richtigen Genre zu und erhöhen Sie Ihre Chancen auf einen Buchvertrag. Stimmen zu diesem Buch: ""Wer sein Buch erfolgreich positionieren will, sollte die Spielregeln des Marktes kennen. Wenn ein Manuskript für Agenten, Verlage, Buchhandel und Konsumenten einzuordnen ist, verbessern sich die Chancen des Autors, einen Buchvertrag zu bekommen und nachfolgend das Buch erfolgreich zu vermarkten. Dr. Anette Huesmann ist es geglückt, eine strukturierte Übersicht über den ""Genre-Dschungel"" zu geben. Ein ""Must-have"" für alle Autoren, die nicht nur für Tante Frieda und Onkel Heinz schreiben, sondern die strukturiert ihr Werk positionieren wollen. Wer sich an diesen Leitfaden hält, wird von Agenten und Verlagen verstanden und kann sein Werk strategisch am Buchmarkt positionieren. Nichts schlimmer, als wenn das Herzblut-Manuskript mit der Absage ""passt in kein Genre"" für nicht publizierbar befunden wird. Eine klare fünf Sterne Kaufempfehlung!"" (Kontiki) ""Sowohl eine interessante und erhellende Lektüre als auch ein Nachschlagewerk. Ich bin wirklich hellauf begeistert. In meinen Augen ein Muss für Buchliebhaber, Leser und besonders für Buchblogger."" (Buchvogel_Bücherblog)",['Performing Arts']
Schwarzmetall und Todesblei,['Sarah Chaker'],"Was schätzen Black- und Death-Metal-AnhängerInnen an ihrer Musik? Wie finden sie Zugang zu dieser und zu den entsprechenden Szenen? Inwieweit bringen sich die SzenegängerInnen aktiv in die musikalische Praxis des Black- bzw. Death Metal ein? Und teilen sie über ihre musikalische Vorliebe hinaus weitere Gemeinsamkeiten, etwa ihre soziale Herkunft, ihr Bildungsniveau oder ihre parteipolitische Orientierung betreffend? Antworten auf Fragen wie diese liefert die vorliegende empirische Grundlagenstudie, in der Black Metal und Death Metal als zwei komplexe musikalische und kulturelle Phänomene der Gegenwart vergleichend untersucht werden. Mit einer Vielzahl an qualitativen und quantitativen Ergebnissen bietet das Buch eine Momentaufnahme der Szenen in Deutschland und trägt auf diese Weise zu einer Fundierung des aktuellen Diskurses über extreme Formen des Metal bei.",['Music']
Handbuch Kriminalliteratur,"['Susanne Düwell', 'Andrea Bartl', 'Christof Hamann', 'Oliver Ruf']","Das Handbuch entfaltet erstmals einen systematischen, theoriegeleiteten und historisch fundierten Überblick zur Kriminalliteratur. Sowohl literaturwissenschaftliche Konzepte von der Gattungsreflexion bis zu Raumtheorien kommen darin zum Tragen als auch Theorien des Kriminalromans und poetologische Ansätze. Wesentliche Aspekte wie z.B. Paranoia, Geständnis oder Rätsel und zentrale Figuren des Genres werden in den Blick genommen. Einen weiteren Schwerpunkt bildet die Literaturgeschichte der deutschsprachigen Kriminalliteratur seit ihren Anfängen im 17. Jahrhundert. Das Handbuch schließt mit Beiträgen zum Krimi in Film, Fernsehen, Hörspiel, Comic und in den digitalen Medien.",['Literary Criticism']
Die 20 besten Film- und TV Detektive der Welt,['Sybille von Goysern'],Gehören Sie auch zu den Menschen die gerne Krimis und Thriller sehen und oft schon vor dem Ende wissen wer der Mörder ist? Gehören Sie auch zu den Fans von James Bond und Miss Marple? Arbeitet Ihr Verstand ähnlich scharf wie der von Sherlock Homles? Dann wünschen wir Ihnen viel Spaß auf Ihrer Reise durch die Fälle der besten Detektive der Film- und Fernsehgeschichte. Das ideale Buch für Film- und Kinofans.,['Performing Arts']
Krimis erzählen,['Martin Thau'],"Begleitbuch zur Online-Vorlesung Erfolgreich Fernseh-Krimis schreiben ( https://vimeo.com/ondemand/krimischreiben ) Hinweis Dieser Band richtet sich an Autoren mit Schreiberfahrung, die nach Schnellrezepten suchen, weil sie dringend einen Krimi oder Thriller schreiben müssen. Anfänger finden gründlichere Titel, wenn sie nach ""krimi schreiben"" suchen.",['Drama']
Was siehst du in der Dunkelheit? Mystic Thriller Großband 3 Romane 11/2021,"['Alfred Bekker', 'Ann Murdoch', 'Carol East']","Was siehst du in der Dunkelheit? Titel Mystic Thriller Großband 3 Romane 11/2021 von Alfred Bekker, Carol East, Ann Murdoch Über diesen Band: DieserBand enthält folgende Romane: Das Geheimnis der blinden Seherin (Carol East) Die Angst verfolgt dich bis ans Ende (Alfred Bekker) Dunkle Gebete (Ann Murdoch) Die Radiomoderatorin Lynne bekommt den Anruf eines Hörers, der behauptet, die Wiedergeburt eines Serienmörders zu sein. Nur ein verrückter Wichtigtuer? Oder hat eine zweifelhafte Reinkarnationstherapie tatsächlich dazu geführt, dass der dunkle Drang zu töten die Oberhand gewinnt? Bald scheint Lynne selbst in den Fokus des Mörders zu geraten...",['Fiction']
Character-Based Film Series Part 2,['Terry Rowan'],"A grourp of films or a character-based series, each complete on its own but sharing a common cast of main characters with continuing traits and a similar format, included are Alien, Austin Powers, Billy the Kid, Boston Blackie, The Bowery Boys, Captain Kidd, Charley Chan, The Cisco Kid, Davy Crockett, Dick Tracey, Dracula, Frankenstein, Gene Autry, The Green Hornet, King Kong, Living Dead, Marx Brothers, Matt Helm, Mexican Spitfire, Perry Mason, Peter Pan, The Range Busters, Sherlock Holmes, The Three Musketeers and The Wild Bunch. These and other character-based films are included in this book! 2 of 3 books.",['Performing Arts']
Whodoneit! A Film Guide,['Terry Rowan'],"The Comprehensive Film Guide to Amateur Sleuth, Detective & Police Stories of Film and Television. A look at the writers, Private Invetigators, Lawyers, and the Hollywood Personal that produced them, and other interesting stories that have Mystery and Intrigue.",['Performing Arts']
Weihnachtsgrab,['Felicity Green'],"Ein schauriger Weihnachtskrimi mit 24 spannenden Kapiteln WEIHNACHTSGRAB: Der Violet-Grave-Mystery-Thriller als Adventskalender Violet Grave wird entführt. Statt Weihnachten wie geplant mit ihrer Freundin Cat zu verbringen, findet sich die Grabexpertin auf der Hebrideninsel Iona wieder. Das kleine Eiland befindet sich im Lockdown und es gibt kein Entkommen. Violet muss auf die Forderungen ihrer Kidnapper eingehen und das Rätsel der Gräber der schottischen Könige auf dem Reilig Odhráin, dem berühmt-berüchtigten Friedhof neben dem Kloster Iona Abbey, lösen. Dabei hat Violet einen sehr guten Grund, sich von allen gefährlichen Abenteuern fernzuhalten und über ihre unberechenbare übernatürliche Gabe Stillschweigen zu bewahren. Denn es gibt jemanden, den sie um jeden Preis beschützen muss. Das erweist sich als nahezu unmöglich auf einer Insel, die so viele historisch bedeutende Verstorbene birgt, dass Violet keine zwei Schritte gehen kann, ohne über ein Grab zu spazieren. Violet wird unweigerlich in das dunkle Geheimnis des Friedhofs hineingezogen. Es gibt niemandem, dem sie vertrauen kann, denn alle scheinen an ihrer Entführung beteiligt: Cat und ihr neuer Partner; ein mysteriöser Orden mit dem Ziel, die schottische Geschichte umzuschreiben - und der bereit ist, über Leichen zu gehen; und die vermeintlich gastfreundliche Familie, die ihr Unterschlupf gewährt. Bald ist Violet nirgendwo auf der Insel mehr sicher ... und alle Wege führen zum Friedhof. Nach GRABSCHWESTERN, GRABGESANG und GRABSÜCHTIG ist WEIHNACHTSGRAB der vierte Mystery-Thriller mit Friedhofsenthusiastin Violet Grave in der Hauptrolle. Das Buch kann unabhängig von den anderen gelesen werden und ist das perfekte schaurig-spannende Leseabenteuer - nicht nur für die Adventszeit. WEIHNACHTGRAB jetzt lesen!",['Fiction']
Film Noir and the Arts of Lighting,['Patrick Keating'],"More than any other films from the classical era, the Hollywood film noir is known for its lighting. Film Noir and the Arts of Lighting offers a new account of this craft, grounded in a larger theory of cinematography as emotionally engaging storytelling. Featuring analyses of The Asphalt Jungle, Touch of Evil, and more.",['Art']
Poised to Kill,['Brian Lutterman'],"Extortionists present corporate executive Hal Dwyer with a nightmarish dilemma: turn over top secret anti-missile software from his defense contractor employer, or forfeit the life of his twelve-year-old daughter. To thwart the kidnappers, Dwyer sets out on a quest for answers that takes him from the boardrooms of southern California to the wilds of northern Minnesota. As he seeks to unravel the plot that threatens to destroy his family and his country, Dwyer confronts a ruthless foreign tycoon, a treacherous corporate CEO, and a new, deadlier breed of terrorists, who are determined to turn America's defenses and freedoms against itself.",['Fiction']
House of the Rising Sun,['Chuck Hustmyre'],"After nearly five years in federal prison, ex-New Orleans vice cop Ray Shane doesn't want any trouble. But trouble is exactely what he gets when four masked gunmen rob the House of the Rising Sun, the mob-owned casino and brothel where Shane is in charge of security.",['Fiction']
Superior Position,['Evan McNamara'],"Former Army sniper Bill Tatum likes his new job. As Deputy Sheriff of Mineral County, Colorado, he gets to ride a horse and wear a cool hat, but he never expected to find a dead woman in the hills behind his cabin. Tatum never expected to find himself on the wrong side of the crosshairs, either. The woman with the bullet hole in her temple was a reporter from the Rocky Mountain News, and her journal reveals secret affairs, political corruption, and a pending environmental disaster. But Tatum has little time to ponder motive, because the bullets are flying. No one is safe from the deadly accurate vengeance of a well-placed rifle bullet. As Tatum muddles through the deception and lies in his once-innocent alpine village, the sniper stays one step ahead of him, killing mercilessly, then disappearing into the Colorado wilderness, eliminating carefully chosen targets with impunity. Tatum cannot overcome the sniper's meticulous planning and penchant for public assassinations. When his suspects fill up the county morgue instead of the jail, Tatum realizes he must fall back on his training as an Army sniper to regain Superior Position and stop the terror from the ridge above.",['Fiction']
Lexikon des internationalen Films - Filmjahr 2012,"['Filmdienst', 'Horst Peter Koll']","Das komplette Angebot im Kino, Fernsehen und auf DVD/Blu-ray Für jeden Filminteressierten unverzichtbar: Auch für das Jahr 2012 bietet das Filmjahrbuch für jeden Film, der in Deutschland und der Schweiz im Kino, im Fernsehen oder auf DVD/Blu-ray gezeigt wurde, eine Kurzkritik und zeigt mit klaren Maßstäben inhaltliche Qualität und handwerkliches Können. Die Rubriken Die besten Kinofilme, Sehenswert 2011 und schließlich die Prämierung von rund 50 besonders herausragenden DVD-Editionen (der Silberling der Zeitschrift film-dienst) machen Lust, den einen oder anderen Film kennenzulernen oder ihn erneut anzusehen. Das Jahrbuch 2012 trägt der steigenden Zahl von Blu-ray-Editionen in einem eigenen Besprechungsteil Rechnung. Ein detaillierter Jahresrückblick lässt Monat für Monat die besonderen Ereignisse des vergangenen Filmjahrs Revue passieren. Der Anhang informiert über Festivals und Preise. Zugabe: Mit dem Kauf des Buches erwirbt man für sechs Monate die Zugangsberechtigung für die komplette Online-Filmdatenbank des film-dienst im Netz mit über 73.500 Filmen und 240.200 Personen und somit Zugang zu allen Kritiken und Hintergrundinformationen. Ein special in dieser Ausgabe ist Martin Scorsese gewidmet.",['Performing Arts']
Crime Fiction,['John Scaggs'],"Provides a lively introduction to what is both a wide-ranging and hugely popular literary genre. Accessible and clear, this comprehensive overview is the essential guide for all those studying crime fiction.",['Fiction']
Geschichten von A bis Z,['Autorengemeinschaft Aussagekräftig'],"Wenn aus Buchstaben Worte, aus Worten Sätze, aus Sätzen Geschichten entstehen. 23 Autoren haben sich aufgemacht, um jedem Buchstaben im Alphabet eine Geschichte zu widmen. Alltägliches, Kriminelles, Fantastisches, Exotisches, Geschichtliches und vieles mehr wurde aus den ihnen zugewiesenen Buchstaben gezaubert. Manches verführt zum Lachen, manches führt in andere Welten, manches rührt zu Tränen.",['Fiction']
Rich & Mysterious: Der Niagara-Fall,['Neal Skye'],"""Ich bin Sara"", sagte sie. ""Sara Maria Anderson"". Ich wusste, das konnte nur ""Problem"" bedeuten. Sie trug ein langes, grünes Satinkleid und hatte keine Ahnung, wer sie in das Taxi gesetzt hatte, das sie nach Buffalo, NY gebracht hatte, direkt in mein Büro. Die letzten acht Stunden und dreißig Minuten waren in ihrem Gedächtnis wie ausradiert, aber schon bald war mir klar, dass wir deutlich tiefer graben mussten. Ein Mord in Saras unmittelbarer Umgebung zog mich dann in die Vergangenheit, in eine Welt aus Skrupellosigkeit und Habgier, gewährte mir aber auch Einblicke in die ungewöhnliche und bizarre Welt zweier bemerkenswerter Frauen. Und welchen Beziehungsstatus hatte wohl diese kleine, italienische Stupsnase vom NYPD? Niclas ""Rich"" Richmond war Ende der 80er Jahre ein junger, gefragter Journalist, der von der renommiertesten Detektei Buffalos abgeworben wurde. Jahrzehnte später ist vom Ruhm jener Tage nicht mehr viel übrig geblieben. Privatdetektive, die einst für die Gerechtigkeit kämpfende Helden waren, dokumentierten nun aus sicherer Entfernung die Untreue von Ehepartnern - das war nicht mehr seine Welt. Als Rich mit seinem persönlichsten Fall konfrontiert wird, fordert sein Schicksal ihn zu seinem härtesten Kampf heraus.",['Fiction']
